         2156267 function calls (2116685 primitive calls) in 15.867 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      723    0.005    0.000    0.307    0.000 <frozen importlib._bootstrap_external>:743(get_code)
     4068    0.005    0.000    0.035    0.000 markers.py:245(_recache)
        1    0.005    0.005    0.011    0.011 {built-in method torch._C._initExtension}
     5396    0.004    0.000    0.017    0.000 <__array_function__ internals>:2(dot)
      407    0.004    0.000    0.004    0.000 {method 'unsqueeze' of 'torch._C._TensorBase' objects}
     1446    0.004    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:263(cache_from_source)
     4461    0.004    0.000    0.011    0.000 contextlib.py:85(__exit__)
      210    0.004    0.000    0.005    0.000 {method 'draw_text_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
     9236    0.004    0.000    0.025    0.000 {built-in method builtins.next}
     5871    0.004    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:57(_path_join)
      279    0.004    0.000    0.004    0.000 {method 'float' of 'torch._C._TensorBase' objects}
2136/1692    0.004    0.000    0.107    0.000 spines.py:487(get_spine_transform)
        2    0.004    0.002    0.019    0.010 font_manager.py:1240(_findfont_cached)
     3273    0.004    0.000    0.021    0.000 transforms.py:2470(composite_transform_factory)
        1    0.004    0.004    0.008    0.008 gdiplus.py:36(<module>)
      558    0.004    0.000    0.004    0.000 {method 'transpose' of 'torch._C._TensorBase' objects}
      565    0.004    0.000    0.047    0.000 text.py:270(_get_layout)
     1512    0.004    0.000    0.021    0.000 transforms.py:1976(scale)
     3114    0.004    0.000    0.007    0.000 lines.py:1113(_split_drawstyle_linestyle)
      310    0.004    0.000    0.004    0.000 {method 't' of 'torch._C._TensorBase' objects}
     3599    0.004    0.000    0.012    0.000 transforms.py:1819(__init__)
      639    0.004    0.000    0.011    0.000 inspect.py:2102(_signature_from_function)
     4461    0.004    0.000    0.014    0.000 contextlib.py:157(helper)
     1469    0.004    0.000    0.005    0.000 font_manager.py:812(set_size)
     1423    0.004    0.000    0.004    0.000 __init__.py:484(cast)
       11    0.004    0.000    0.004    0.000 {built-in method _ctypes.LoadLibrary}
       12    0.004    0.000    0.004    0.000 {method 'uniform_' of 'torch._C._TensorBase' objects}
     1065    0.004    0.000    0.017    0.000 transforms.py:1930(rotate_deg)
      730    0.004    0.000    0.009    0.000 shape_base.py:597(column_stack)
     1509    0.004    0.000    0.006    0.000 font_manager.py:660(__hash__)
     3815    0.004    0.000    0.004    0.000 <frozen importlib._bootstrap>:103(release)
     1280    0.004    0.000    0.035    0.000 artist.py:1064(set)
     4773    0.004    0.000    0.015    0.000 transforms.py:126(invalidate)
    22505    0.004    0.000    0.004    0.000 {built-in method builtins.min}
     2020    0.004    0.000    0.019    0.000 transforms.py:1962(translate)
    10605    0.004    0.000    0.025    0.000 _asarray.py:16(asarray)
     2729    0.004    0.000    0.004    0.000 __init__.py:365(__getitem__)
     4674    0.004    0.000    0.053    0.000 re.py:286(_compile)
2347/1107    0.004    0.000    0.004    0.000 sre_parse.py:173(getwidth)
     3576    0.004    0.000    0.032    0.000 fromnumeric.py:2189(any)
    27697    0.004    0.000    0.004    0.000 artist.py:194(axes)
        1    0.004    0.004    0.004    0.004 pil.py:36(<module>)
     2408    0.004    0.000    0.004    0.000 module.py:571(__getattr__)
       64    0.004    0.000    0.491    0.008 03_DQN_training.py:278(extract_tensors)
      279    0.004    0.000    0.004    0.000 03_DQN_training.py:180(crop_screen)
  1325/13    0.003    0.000    0.556    0.043 artist.py:30(draw_wrapper)
      795    0.003    0.000    0.005    0.000 artist.py:1043(update_from)
     3315    0.003    0.000    0.007    0.000 artist.py:673(set_figure)
    14328    0.003    0.000    0.004    0.000 {built-in method builtins.setattr}
     2339    0.003    0.000    0.003    0.000 {method 'reshape' of 'numpy.ndarray' objects}
      775    0.003    0.000    0.003    0.000 {built-in method torch._C._get_tracing_state}
      778    0.003    0.000    0.016    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
       64    0.003    0.000    0.003    0.000 {method 'eq' of 'torch._C._TensorBase' objects}
     1392    0.003    0.000    0.012    0.000 gl_info.py:102(<genexpr>)
    18715    0.003    0.000    0.003    0.000 {method 'getrandbits' of '_random.Random' objects}
10940/10936    0.003    0.000    0.004    0.000 {method 'join' of 'str' objects}
    779/9    0.003    0.000    1.043    0.116 <frozen importlib._bootstrap>:651(_load_unlocked)
      706    0.003    0.000    0.003    0.000 stride_tricks.py:185(_broadcast_shape)
     5871    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:59(<listcomp>)
      280    0.003    0.000    0.012    0.000 ticker.py:1948(_validate_steps)
        1    0.003    0.003    0.033    0.033 __init__.py:129(<module>)
      291    0.003    0.000    0.003    0.000 {method 'numpy' of 'torch._C._TensorBase' objects}
     3576    0.003    0.000    0.038    0.000 <__array_function__ internals>:2(any)
     2781    0.003    0.000    0.016    0.000 colors.py:149(to_rgba)
     1557    0.003    0.000    0.005    0.000 lines.py:1401(set_dash_capstyle)
     3935    0.003    0.000    0.003    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
      279    0.003    0.000    0.822    0.003 transforms.py:68(__call__)
     1699    0.003    0.000    0.025    0.000 text.py:170(update)
    33947    0.003    0.000    0.003    0.000 {method 'append' of 'list' objects}
      806    0.003    0.000    0.003    0.000 font_manager.py:1119(score_stretch)
       52    0.003    0.000    0.325    0.006 axis.py:1074(_update_ticks)
      588    0.003    0.000    0.014    0.000 inspect.py:1089(getfullargspec)
       27    0.003    0.000    0.014    0.001 __init__.py:909(_rc_params_in_file)
     1457    0.003    0.000    0.003    0.000 font_manager.py:794(set_stretch)
      280    0.003    0.000    0.003    0.000 function_base.py:1147(diff)
     4204    0.003    0.000    0.003    0.000 {method 'format' of 'str' objects}
    802/9    0.003    0.000    1.046    0.116 <frozen importlib._bootstrap>:936(_find_and_load_unlocked)
      288    0.003    0.000    0.018    0.000 base.py:293(set_current)
     2126    0.003    0.000    0.003    0.000 {built-in method builtins.sorted}
       64    0.003    0.000    0.003    0.000 {method 'gather' of 'torch._C._TensorBase' objects}
    23777    0.003    0.000    0.003    0.000 {method 'lower' of 'str' objects}
      355    0.003    0.000    0.005    0.000 transforms.py:671(translated)
      263    0.003    0.000    0.033    0.000 03_DQN_training.py:112(select_action)
      694    0.003    0.000    0.003    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
    723/9    0.003    0.000    1.042    0.116 <frozen importlib._bootstrap_external>:672(exec_module)
        1    0.003    0.003    0.056    0.056 glext_arb.py:38(<module>)
      279    0.003    0.000    0.003    0.000 __init__.py:2021(get_viewport)
      294    0.003    0.000    0.004    0.000 transforms.py:2791(nonsingular)
      104    0.003    0.000    0.010    0.000 ticker.py:767(_set_format)
      210    0.003    0.000    0.037    0.000 backend_agg.py:164(draw_text)
  799/643    0.003    0.000    0.011    0.000 transforms.py:2395(get_affine)
     1446    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:63(_path_split)
      263    0.003    0.000    0.003    0.000 {method 'item' of 'torch._C._TensorBase' objects}
