         2719936 function calls (2672071 primitive calls) in 31.928 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      190    0.005    0.000    0.005    0.000 {built-in method zeros}
     3118    0.004    0.000    0.004    0.000 {method 'reshape' of 'numpy.ndarray' objects}
      172    0.004    0.000    0.004    0.000 {built-in method torch._C._nn.mse_loss}
      391    0.004    0.000    0.005    0.000 __init__.py:2021(get_viewport)
      723    0.004    0.000    0.269    0.000 <frozen importlib._bootstrap_external>:743(get_code)
       96    0.004    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1067(_path_hooks)
        1    0.004    0.004    0.008    0.008 gdiplus.py:36(<module>)
     2273    0.004    0.000    0.034    0.000 text.py:170(update)
      391    0.004    0.000    1.251    0.003 transforms.py:68(__call__)
    17238    0.004    0.000    0.004    0.000 {built-in method builtins.setattr}
     1941    0.004    0.000    0.005    0.000 font_manager.py:794(set_stretch)
      376    0.004    0.000    0.016    0.000 ticker.py:1948(_validate_steps)
      400    0.004    0.000    0.019    0.000 base.py:293(set_current)
      371    0.004    0.000    0.066    0.000 03_DQN_training.py:112(select_action)
      376    0.004    0.000    0.005    0.000 function_base.py:1147(diff)
     3313    0.004    0.000    0.020    0.000 colors.py:149(to_rgba)
     4754    0.004    0.000    0.050    0.000 <__array_function__ internals>:2(any)
     5206    0.004    0.000    0.050    0.000 re.py:286(_compile)
      172    0.004    0.000    0.025    0.000 optimizer.py:159(zero_grad)
      390    0.004    0.000    0.005    0.000 transforms.py:2791(nonsingular)
     2078    0.004    0.000    0.007    0.000 lines.py:1401(set_dash_capstyle)
      407    0.004    0.000    0.004    0.000 {method 'numpy' of 'torch._C._TensorBase' objects}
     2690    0.004    0.000    0.004    0.000 {built-in method builtins.sorted}
      810    0.004    0.000    0.477    0.001 linear.py:86(forward)
      935    0.004    0.000    0.013    0.000 stride_tricks.py:206(broadcast_arrays)
      272    0.004    0.000    0.050    0.000 backend_agg.py:164(draw_text)
      639    0.004    0.000    0.010    0.000 inspect.py:2102(_signature_from_function)
       68    0.004    0.000    0.435    0.006 axis.py:1074(_update_ticks)
      344    0.004    0.000    0.058    0.000 axis.py:332(_apply_params)
 1037/833    0.004    0.000    0.015    0.000 transforms.py:2395(get_affine)
     5871    0.004    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:57(_path_join)
     1564    0.004    0.000    0.007    0.000 rendering.py:205(enable)
       11    0.004    0.000    0.004    0.000 {built-in method _ctypes.LoadLibrary}
     1446    0.004    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:263(cache_from_source)
    32020    0.004    0.000    0.004    0.000 {built-in method builtins.id}
     2111    0.004    0.000    0.011    0.000 artist.py:946(_update_property)
     4443    0.004    0.000    0.006    0.000 lines.py:59(_scale_dashes)
      136    0.004    0.000    0.013    0.000 ticker.py:767(_set_format)
    22537    0.004    0.000    0.004    0.000 {built-in method builtins.min}
     2729    0.004    0.000    0.004    0.000 __init__.py:365(__getitem__)
      459    0.004    0.000    0.007    0.000 transforms.py:671(translated)
     3815    0.004    0.000    0.004    0.000 <frozen importlib._bootstrap>:103(release)
     4467    0.004    0.000    0.004    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
      782    0.003    0.000    0.003    0.000 {method 'transpose' of 'numpy.ndarray' objects}
      371    0.003    0.000    0.003    0.000 {method 'item' of 'torch._C._TensorBase' objects}
      391    0.003    0.000    1.006    0.003 transforms.py:127(__call__)
