         2135722 function calls (2096018 primitive calls) in 12.126 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2467    0.019    0.000    0.031    0.000 inspect.py:614(cleandoc)
      280    0.001    0.000    0.031    0.000 scale.py:86(set_default_locators_and_formatters)
    65271    0.031    0.000    0.031    0.000 __init__.py:811(__getitem__)
     3552    0.003    0.000    0.029    0.000 fromnumeric.py:2189(any)
        1    0.000    0.000    0.029    0.029 faster_rcnn.py:1(<module>)
     2246    0.001    0.000    0.028    0.000 inspect.py:595(getdoc)
        7    0.000    0.000    0.028    0.004 __init__.py:108(import_module)
        7    0.000    0.000    0.028    0.004 <frozen importlib._bootstrap>:982(_gcd_import)
        1    0.000    0.000    0.028    0.028 collections.py:10(<module>)
     1077    0.001    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:85(_path_is_mode_type)
        1    0.000    0.000    0.027    0.027 hub.py:1(<module>)
      155    0.001    0.000    0.027    0.000 axis.py:1374(_copy_tick_props)
    14/13    0.000    0.000    0.026    0.002 __init__.py:376(__getattr__)
      268    0.026    0.000    0.026    0.000 {method 'byte' of 'torch._C._TensorBase' objects}
      259    0.001    0.000    0.026    0.000 axis.py:425(_get_text1)
      981    0.001    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:94(_path_isfile)
    51693    0.018    0.000    0.025    0.000 {built-in method builtins.getattr}
     3292    0.016    0.000    0.025    0.000 artist.py:74(__init__)
      297    0.001    0.000    0.024    0.000 backend_agg.py:241(_get_agg_font)
        1    0.000    0.000    0.024    0.024 request.py:68(<module>)
      268    0.024    0.000    0.024    0.000 __init__.py:47(create_string_buffer)
     7006    0.024    0.000    0.024    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    10502    0.004    0.000    0.024    0.000 _asarray.py:16(asarray)
       92    0.000    0.000    0.024    0.000 backend_agg.py:193(get_text_width_height_descent)
     6222    0.005    0.000    0.024    0.000 artist.py:49(_stale_axes_callback)
        1    0.000    0.000    0.024    0.024 pyplot.py:182(switch_backend)
      248    0.001    0.000    0.023    0.000 axis.py:543(_get_text1)
      317    0.001    0.000    0.023    0.000 overrides.py:154(decorator)
     1691    0.003    0.000    0.023    0.000 text.py:170(update)
        1    0.001    0.001    0.023    0.023 __init__.py:129(<module>)
     9186    0.004    0.000    0.023    0.000 {built-in method builtins.next}
       12    0.002    0.000    0.023    0.002 artist.py:1277(_get_setters_and_targets)
      259    0.002    0.000    0.023    0.000 axis.py:442(_get_text2)
      226    0.001    0.000    0.023    0.000 sre_parse.py:844(parse)
      297    0.001    0.000    0.022    0.000 font_manager.py:1179(findfont)
        1    0.000    0.000    0.022    0.022 backend_tkagg.py:1(<module>)
76130/76109    0.016    0.000    0.022    0.000 {built-in method builtins.hasattr}
     1608    0.010    0.000    0.022    0.000 rendering.py:188(enable)
        1    0.000    0.000    0.022    0.022 rcsetup.py:15(<module>)
     1545    0.002    0.000    0.022    0.000 lines.py:1243(set_markerfacecolor)
        2    0.000    0.000    0.021    0.011 rendering.py:55(__init__)
     3265    0.002    0.000    0.021    0.000 transforms.py:1236(__add__)
       24    0.000    0.000    0.021    0.001 _base.py:2388(autoscale_view)
      248    0.001    0.000    0.021    0.000 axis.py:558(_get_text2)
     2127    0.001    0.000    0.021    0.000 __init__.py:73(CFUNCTYPE)
      280    0.000    0.000    0.021    0.000 ticker.py:2662(__init__)
  580/226    0.001    0.000    0.020    0.000 sre_parse.py:407(_parse_sub)
      408    0.001    0.000    0.020    0.000 artist.py:1241(get_valid_values)
       48    0.002    0.000    0.020    0.000 _base.py:2425(handle_single_axis)
     1491    0.004    0.000    0.020    0.000 transforms.py:1976(scale)
      723    0.020    0.000    0.020    0.000 {method 'read' of '_io.FileIO' objects}
      280    0.001    0.000    0.020    0.000 ticker.py:1896(__init__)
  791/240    0.007    0.000    0.020    0.000 sre_parse.py:470(_parse)
      280    0.001    0.000    0.019    0.000 ticker.py:1971(set_params)
        1    0.000    0.000    0.019    0.019 client.py:69(<module>)
      226    0.000    0.000    0.019    0.000 sre_compile.py:542(_code)
     1614    0.001    0.000    0.019    0.000 artist.py:1319(is_alias)
     3265    0.004    0.000    0.019    0.000 transforms.py:2470(composite_transform_factory)
      723    0.001    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:840(path_stats)
       13    0.001    0.000    0.019    0.001 _base.py:2503(_update_title_position)
     4436    0.002    0.000    0.019    0.000 contextlib.py:79(__enter__)
     2600    0.007    0.000    0.018    0.000 transforms.py:726(__init__)
        1    0.000    0.000    0.018    0.018 __init__.py:175(add_default_image_codecs)
        1    0.000    0.000    0.018    0.018 __init__.py:72(<module>)
      550    0.001    0.000    0.018    0.000 transforms.py:1470(transform_point)
        2    0.001    0.001    0.018    0.009 win32.py:4(<module>)
        2    0.000    0.000    0.018    0.009 __init__.py:7(<module>)
        1    0.000    0.000    0.018    0.018 fontconfig_pattern.py:6(<module>)
     7236    0.009    0.000    0.018    0.000 abc.py:180(__instancecheck__)
      268    0.001    0.000    0.018    0.000 Image.py:807(frombytes)
     1304    0.014    0.000    0.017    0.000 __init__.py:1679(normalize_kwargs)
       12    0.000    0.000    0.017    0.001 _base.py:594(_init_axis)
      297    0.017    0.000    0.017    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
        2    0.000    0.000    0.017    0.008 __init__.py:45(<module>)
     2020    0.004    0.000    0.017    0.000 transforms.py:1962(translate)
        2    0.003    0.002    0.016    0.008 font_manager.py:1240(_findfont_cached)
     1056    0.003    0.000    0.016    0.000 transforms.py:1930(rotate_deg)
       48    0.001    0.000    0.016    0.000 __init__.py:357(namedtuple)
      465    0.002    0.000    0.016    0.000 lines.py:1330(update_from)
     5351    0.004    0.000    0.016    0.000 <__array_function__ internals>:2(dot)
      104    0.000    0.000    0.016    0.000 ticker.py:680(set_locs)
      576    0.001    0.000    0.016    0.000 transforms.py:1377(transform)
      268    0.002    0.000    0.015    0.000 Image.py:2469(new)
       78    0.001    0.000    0.015    0.000 patches.py:563(draw)
     6636    0.013    0.000    0.015    0.000 transforms.py:164(set_children)
       53    0.000    0.000    0.015    0.000 03_DQN_training.py:81(sample)
        4    0.000    0.000    0.015    0.004 __init__.py:15(<module>)
       27    0.000    0.000    0.015    0.001 __init__.py:971(rc_params_from_file)
       53    0.005    0.000    0.015    0.000 random.py:285(sample)
 1483/226    0.005    0.000    0.015    0.000 sre_compile.py:64(_compile)
       87    0.001    0.000    0.015    0.000 transforms.py:697(union)
        3    0.015    0.005    0.015    0.005 win32.py:195(attach)
       12    0.000    0.000    0.015    0.001 artist.py:1193(__init__)
       12    0.001    0.000    0.015    0.001 artist.py:1213(get_aliases)
        5    0.000    0.000    0.015    0.003 __init__.py:2(<module>)
     1545    0.002    0.000    0.015    0.000 lines.py:1257(set_markerfacecoloralt)
        1    0.000    0.000    0.014    0.014 pyparsing.py:96(<module>)
        1    0.000    0.000    0.014    0.014 core.py:12(<module>)
     1060    0.014    0.000    0.014    0.000 {method 'mul_' of 'torch._C._TensorBase' objects}
     2751    0.003    0.000    0.014    0.000 colors.py:149(to_rgba)
      778    0.003    0.000    0.014    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
        1    0.000    0.000    0.014    0.014 core.py:151(load_base_library)
        1    0.000    0.000    0.014    0.014 core.py:182(read_style_directory)
